c_Cod;d_Inizio;d_Fine;v_Descrizione;b_Bacino;c_CodiceRegione;c_CodAslTerritoriale;c_Provincia;c_ComuneFiscale;c_Regione
001045;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BUTTIGLIERA ALTA;NULL;010;203;TO;B305 ;150
001046;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CAFASSE;NULL;010;106;TO;B350 ;150
001046;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CAFASSE;NULL;010;204;TO;B350 ;150
001047;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CALUSO;NULL;010;109;TO;B435 ;150
001047;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CALUSO;NULL;010;204;TO;B435 ;150
001048;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CAMBIANO;NULL;010;108;TO;B462 ;150
001048;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CAMBIANO;NULL;010;205;TO;B462 ;150
001049;2006-02-23 00:00:00.000;2007-12-31 00:00:00.000;CAMPIGLIONE FENILE;NULL;010;110;TO;B512 ;150
001049;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CAMPIGLIONE FENILE;NULL;010;203;TO;B512 ;150
001050;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CANDIA CANAVESE;NULL;010;109;TO;B588 ;150
001050;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CANDIA CANAVESE;NULL;010;204;TO;B588 ;150
001051;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CANDIOLO;NULL;010;108;TO;B592 ;150
001051;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CANDIOLO;NULL;010;205;TO;B592 ;150
001052;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CANISCHIO;NULL;010;109;TO;B605 ;150
001052;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CANISCHIO;NULL;010;204;TO;B605 ;150
001053;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CANTALUPA;NULL;010;110;TO;B628 ;150
001053;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CANTALUPA;NULL;010;203;TO;B628 ;150
001054;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CANTOIRA;NULL;010;106;TO;B637 ;150
001054;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CANTOIRA;NULL;010;204;TO;B637 ;150
001055;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CAPRIE;NULL;010;105;TO;B705 ;150
001055;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CAPRIE;NULL;010;203;TO;B705 ;150
001056;1920-01-01 00:00:00.000;2007-12-31 00:00:00.000;CARAVINO;NULL;010;109;TO;B733 ;150
001056;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CARAVINO;NULL;010;204;TO;B733 ;150
001057;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CAREMA;NULL;010;109;TO;B762 ;150
001057;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CAREMA;NULL;010;204;TO;B762 ;150
001058;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CARIGNANO;NULL;010;108;TO;B777 ;150
001058;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CARIGNANO;NULL;010;205;TO;B777 ;150
001059;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CARMAGNOLA;NULL;010;108;TO;B791 ;150
001059;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CARMAGNOLA;NULL;010;205;TO;B791 ;150
001060;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CASALBORGONE;NULL;010;107;TO;B867 ;150
001060;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CASALBORGONE;NULL;010;204;TO;B867 ;150
001061;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CASCINETTE D'IVREA;NULL;010;109;TO;B953 ;150
001061;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CASCINETTE D'IVREA;NULL;010;204;TO;B953 ;150
001062;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CASELETTE;NULL;010;105;TO;B955 ;150
001062;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CASELETTE;NULL;010;203;TO;B955 ;150
001063;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CASELLE TORINESE;NULL;010;106;TO;B960 ;150
001063;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CASELLE TORINESE;NULL;010;204;TO;B960 ;150
001064;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CASTAGNETO PO;NULL;010;107;TO;C045 ;150
001064;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CASTAGNETO PO;NULL;010;204;TO;C045 ;150
